tempo_de_execução_s,plataforma,versão
2.86299, Intel PAC Platform (pac_ee00000), original
2.87773, Intel PAC Platform (pac_ee00000), original
2.86304, Intel PAC Platform (pac_ee00000), original
2.87771, Intel PAC Platform (pac_ee00000), original
2.86295, Intel PAC Platform (pac_ee00000), original
2.8777, Intel PAC Platform (pac_ee00000), original
2.86309, Intel PAC Platform (pac_ee00000), original
2.8778, Intel PAC Platform (pac_ee00000), original
2.86297, Intel PAC Platform (pac_ee00000), original
2.87782, Intel PAC Platform (pac_ee00000), original
0.061375, Intel PAC Platform (pac_ee00000), local_memory
0.0614137, Intel PAC Platform (pac_ee00000), local_memory
0.0613993, Intel PAC Platform (pac_ee00000), local_memory
0.0613401, Intel PAC Platform (pac_ee00000), local_memory
0.0613918, Intel PAC Platform (pac_ee00000), local_memory
0.0613533, Intel PAC Platform (pac_ee00000), local_memory
0.0613933, Intel PAC Platform (pac_ee00000), local_memory
0.0613534, Intel PAC Platform (pac_ee00000), local_memory
0.0613762, Intel PAC Platform (pac_ee00000), local_memory
0.0613598, Intel PAC Platform (pac_ee00000), local_memory
0.0185707, Intel PAC Platform (pac_ee00000), unroll
0.0185683, Intel PAC Platform (pac_ee00000), unroll
0.0186201, Intel PAC Platform (pac_ee00000), unroll
0.0186328, Intel PAC Platform (pac_ee00000), unroll
0.0185249, Intel PAC Platform (pac_ee00000), unroll
0.0186005, Intel PAC Platform (pac_ee00000), unroll
0.0185362, Intel PAC Platform (pac_ee00000), unroll
0.0185909, Intel PAC Platform (pac_ee00000), unroll
0.0186185, Intel PAC Platform (pac_ee00000), unroll
0.0185459, Intel PAC Platform (pac_ee00000), unroll
0.00562731, Intel PAC Platform (pac_ee00000), banking
0.00554939, Intel PAC Platform (pac_ee00000), banking
0.0055488, Intel PAC Platform (pac_ee00000), banking
0.00554601, Intel PAC Platform (pac_ee00000), banking
0.00556917, Intel PAC Platform (pac_ee00000), banking
0.00559961, Intel PAC Platform (pac_ee00000), banking
0.00557718, Intel PAC Platform (pac_ee00000), banking
0.00556998, Intel PAC Platform (pac_ee00000), banking
0.00562243, Intel PAC Platform (pac_ee00000), banking
0.0055626, Intel PAC Platform (pac_ee00000), banking
